10						0
11						0
12						0
13						0
14						0
15						0
16						0
17						0
18						0
19						0
20						0
21						0
22						0
23						0.001
24						0
25						0
26						0.001
27						0.001
28						0.002
29						0.002
30						0.003
31						0.003
32						0.004
33						0.009
34						0.01
35						0.009
36						0.016
37						0.03
38						0.024
39						0.054
40						0.084
41						0.083
42						0.131
43						0.207
44						0.326
45						0.554
46						0.674
47						0.796
48						0.784
49						0.798
50						2.479
51						3.043
52						4.444
53						7.344
54						8.166
55						12.796
56						16.867
57						25.859
58						32.556
59						44.502
60						73.68
61						80.061
62						97.62
63						179.773
64						342.508
65						396.531
66						622.253
67						806.428
69						1566.66
71						2850.84
72						5448.97
