10	0
11	0
12	0.001
13	0
14	0
15	0
16	0.001
17	0
18	0.001
19	0
20	0.002
21	0.001
22	0.001
23	0.002
24	0.002
25	0.001
26	0.002
27	0.003
28	0.005
29	0.005
30	0.007
31	0.009
32	0.012
33	0.011
34	0.015
35	0.015
36	0.022
37	0.027
38	0.027
39	0.044
40	0.049
41	0.049
42	0.053
43	0.065
44	0.094
45	0.115
46	0.12
47	0.136
48	0.156
49	0.186
50	0.29
51	0.368
52	0.316
53	0.464
54	0.477
55	0.571
56	0.766
57	0.661
58	0.75
59	0.641
60	1.192
61	1.141
62	1.22
63	1.821
64	1.716
65	2.065
66	3.176
67	2.634
68	2.539
69	3.77
70	3.839
71	4.318
72	4.315
73	6.669
74	7.879
75	9.735
76	9.877
77	11.799
78	14.077
79	14.99
80	19.449
81	21.997
82	19.327
83	20.965
84	30.108
85	34.298
86	38.055
87	40
88	39.731
89	60.966
90	60.097
91	71.449
92	55.332
